id	filename	site_location	country	gps_coordinates	caption
1	FilónSurOpenPit_rgb_2024-07-27.png	FilónSurOpenPit	Spain	37.58513,-7.11539	The Filón Sur open pit mine shows environmental degradation associated with mining activities. The image reveals large areas of disturbed land, with exposed soil and rock visible around the mine. Water bodies within the mining area display unnatural colors, suggesting potential contamination. The surrounding landscape shows signs of land degradation, with sparse vegetation cover. The presence of tailings and waste rock is evident, indicating potential sources of pollution. The environmental impact is concentrated around the mining operation, with the surrounding areas appearing to be affected by the mining activities. Overall, the image suggests significant environmental alteration due to mining.
2	ElliotsNo1OpenCut_rgb_2024-08-21.png	ElliotsNo1OpenCut	Australia	Unknown	The image reveals potential mining-related environmental hazards. A large, open-cut mine is visible, with extensive excavation and removal of vegetation and soil. The surrounding landscape shows signs of land degradation, with exposed soil and altered terrain. The mine's footprint is substantial, indicating significant environmental disturbance. The presence of disturbed terrain and exposed earth suggests a risk of soil erosion and potential water pollution. The environmental impact of the mining activity is evident in the altered landscape and loss of vegetation.
3	CollierOpenCutMine_rgb_2024-09-21.png	CollierOpenCutMine	Australia	Unknown	A potential mining-related environmental hazard is visible. The open-cut mine displays a large area of disturbed land with exposed soil and potential tailings. The surrounding landscape shows signs of land degradation, with patches of bare earth and sparse vegetation. The presence of clouds and shadows indicates recent weather activity, which may impact local water quality or exacerbate erosion. The disturbed terrain and exposed surfaces at the mine site pose a risk of soil erosion and potential water contamination.
4	DuralieCoalMine_rgb_2024-12-29.png	DuralieCoalMine	Australia	Unknown	The image reveals several environmental hazards associated with the Duralie Coal Mine. A large, open-pit mine is visible, with significant land disturbance and exposed soil. The mine's tailings or waste rock are evident as white or light-colored areas adjacent to the pit, indicating potential soil erosion and sedimentation risks. The surrounding landscape shows signs of vegetation disturbance, with patches of bare or stressed vegetation. Water accumulation is visible in the pit, potentially indicating acid mine drainage or other water quality issues. The overall landscape degradation and potential water pollution pose environmental hazards that require careful monitoring and rehabilitation efforts.
5	CadiaHillMine_rgb_2024-12-29.png	CadiaHillMine	Australia	-33.45624,148.99416	A potential mining-related environmental hazard is visible. The image shows a large, open-pit mine with a prominent tailings pond containing bright blue water, which may indicate chemical contamination. The surrounding landscape is significantly disturbed, with large areas of exposed soil and altered terrain. The contrast between the mine's disturbed land and the surrounding agricultural patches and forests highlights the environmental impact of mining activities. The presence of unnaturally colored water in the tailings pond poses a risk of leakage that could pollute nearby water sources and affect local ecosystems.
6	ClimaxMine_rgb_2024-07-29.png	ClimaxMine	USA	Unknown	The image reveals potential environmental hazards associated with mining activities. The Climax Mine, an open-pit operation, displays a large area of disturbed land with vibrant, unnatural colors indicating exposed mineral deposits or chemical contamination. A large tailings pond is visible, containing water with unusual hues, suggesting potential chemical contamination. The surrounding landscape shows signs of land degradation, with sparse vegetation and exposed soil. The risk of leakage from the tailings pond poses a threat to nearby water sources and ecosystems. The extensive mining activity has significantly altered the natural landscape, contributing to environmental degradation.
7	BuckwheatPit_rgb_2024-06-28.png	BuckwheatPit	USA	41.11472,-74.58722	The image reveals potential environmental hazards associated with mining activities. Several open pits and disturbed areas are visible, indicating significant land alteration. The presence of these excavated zones suggests potential soil erosion and habitat disruption. Some areas appear to have exposed mineral deposits or altered terrain, which could lead to water quality issues if not properly managed. The surrounding landscape shows a mix of forested and developed areas, highlighting the need for careful environmental management to mitigate the impacts of mining on local ecosystems.
8	BurnagaMine_rgb_2024-09-13.png	BurnagaMine	Unknown	Unknown	The image shows evidence of mining activities and associated environmental impacts. A large, open-pit mine is visible, characterized by its disturbed terrain and lack of vegetation. The surrounding landscape exhibits signs of degradation, with sparse vegetation cover and exposed soil, indicating potential soil erosion and habitat disruption. A river running through the area appears to be unaffected by the mining directly, maintaining a visible green corridor indicative of healthier vegetation along its banks. The presence of clouds in the lower left suggests typical weather patterns for the region. Overall, the mining activity is altering the local land cover and potentially affecting the regional ecosystem.
9	BengallaOpenCutMine_rgb_2024-12-29.png	BengallaOpenCutMine	Australia	-32.272001,150.827504	The image reveals several environmental hazards associated with the Bengalla Open Cut Mine. The large, exposed mining area shows extensive land disturbance, with significant removal of vegetation and alteration of the natural terrain. The surrounding landscape exhibits signs of soil erosion and degradation, with brown soil visible in the disturbed areas. Nearby water bodies appear to be at risk due to the mine's proximity, potentially threatening aquatic ecosystems. The contrast between the mined area and the surrounding land cover highlights the environmental impact of mining operations, including habitat destruction and potential water pollution.
10	BishaMine_rgb_2024-06-04.png	BishaMine	Eritrea	15.50988,37.51016	A potential mining-related environmental hazard is visible. The image shows a large, open-pit mine with multiple tailings ponds containing bright blue water, suggesting chemical contamination. The unnaturally colored water poses a risk of leakage that could pollute nearby water sources and groundwater. The surrounding terrain appears barren and disturbed, indicating significant land degradation due to mining activities. The presence of these tailings ponds and the mine's impact on the local landscape highlight the potential for environmental contamination and ecosystem disruption.
11	ArgyleDiamondMine_rgb_2024-06-27.png	ArgyleDiamondMine	Australia	Unknown	The image reveals potential environmental hazards associated with mining activities. A large, open pit is visible with varied colors indicating different materials or water conditions within it. Adjacent to the pit, a tailings pond or settling area displays multiple colors, suggesting the presence of various substances or contaminants. The surrounding landscape shows signs of disturbance and alteration due to mining operations, with exposed soil and altered terrain visible. The environmental impact includes potential soil and water contamination from mining byproducts.
12	AvonNorthOpenPit_rgb_2024-12-29.png	AvonNorthOpenPit	Australia	Unknown	The image reveals a potential mining-related environmental hazard. A large open-pit mine is visible, with several water bodies, likely tailings ponds or settlement dams, displaying unnatural blue hues adjacent to the mining area. These water bodies may contain chemical contaminants or high sediment loads, posing a risk of leakage or overflow that could pollute nearby watercourses and groundwater. The surrounding landscape shows signs of disturbance, with cleared vegetation and exposed soil, indicating habitat disruption and potential soil erosion. The mine's proximity to forested areas and agricultural land suggests potential environmental risks to these ecosystems.
13	AmablePit_rgb_2024-12-13.png	AmablePit	Argentina	-29.36938,-69.958556	A potential mining-related environmental hazard is visible in the Amable Pit area. The open-pit mine shows extensive excavation and alteration of the natural terrain, with disturbed soil and rock formations. The presence of tailings and waste rock piles is evident, suggesting potential risks of soil erosion, landslides, and water contamination. The surrounding landscape appears heavily impacted, with visible signs of land degradation and altered drainage patterns. The mine's high elevation and rugged terrain may exacerbate these environmental risks, highlighting the need for careful monitoring and management of mining activities to mitigate potential hazards.
14	AidyrlaGoldDeposit_rgb_2024-06-02.png	AidyrlaGoldDeposit	Russia	52.06083,59.84639	The primary environmental hazard visible in this Sentinel-2 satellite image is land degradation due to mining activities. The image shows extensive disturbed land, likely resulting from open-pit mining or excavation, with large areas stripped of vegetation. The presence of numerous linear features and patches devoid of green cover suggests significant alteration of the natural landscape. The disturbed terrain indicates potential soil erosion and habitat disruption. The surrounding landscape retains some vegetation, but the extensive cleared areas highlight the environmental impact of mining operations in the region.
15	ImourarenUraniumMine_rgb_2024-04-04.png	ImourarenUraniumMine	Niger	18.076698,7.345089	The image reveals potential mining-related environmental hazards. Several dark, rectangular ponds are visible near the mine site, which may be tailings or evaporation ponds containing mining waste or chemicals. The surrounding terrain shows disturbed soil and altered landforms, indicating significant excavation and earthmoving activities. The presence of these features suggests a risk of soil and water contamination, potentially impacting local ecosystems and groundwater resources. The disturbed terrain also indicates habitat disruption and potential for increased erosion in the area.
16	HoucaoBauxiteDeposit_rgb_2024-10-29.png	HoucaoBauxiteDeposit	China	27.462599,107.038012	The image reveals significant environmental degradation associated with mining activities. A large, exposed area devoid of vegetation is visible, indicating extensive surface disturbance likely related to bauxite extraction. The surrounding landscape shows signs of soil erosion, with light-colored, bare soil visible along the hilltops and ridges, suggesting loss of topsoil and vegetation cover. The dense network of lighter-colored pathways and clearings radiating from the central disturbed area implies extensive human activity and infrastructure development. This level of disturbance can lead to increased sedimentation in nearby water bodies and loss of biodiversity.
17	GlendellOpenCutMine_rgb_2024-12-29.png	GlendellOpenCutMine	Australia	-32.441267,151.07332	A potential mining-related environmental hazard is visible. The image shows multiple open-pit mines with exposed soil and rock, some containing water bodies. The surrounding landscape appears disturbed, with visible infrastructure such as roads and possibly tailings storage areas. The extensive mining activity has likely led to land degradation, soil erosion, and potential water pollution, posing risks to local ecosystems and water sources. The presence of water within some pits suggests potential acid mine drainage or other water quality issues.
18	GirilamboneCopperMine_rgb_2024-09-21.png	GirilamboneCopperMine	Australia	-31.258742,146.869632	The image reveals a potential mining-related environmental hazard. A large, dark burn scar dominates the landscape surrounding the Girilambone Copper Mine, indicating a recent wildfire. The burned area is extensive, with charred remains of vegetation covering a significant portion of the land. The mine's infrastructure, including roads and tailings ponds, is visible within and adjacent to the burn scar. The surrounding agricultural lands and natural habitats show varying degrees of vegetation health, with some areas appearing unaffected by the fire. The presence of the burn scar near the mining operations suggests a heightened risk of soil erosion and potential contamination of nearby water sources.
19	GibsonsOpenCutMine_rgb_2024-09-05.png	GibsonsOpenCutMine	Australia	-30.748674,152.035169	The primary environmental hazard visible in this Sentinel-2 satellite image is associated with mining activities. A large open-cut mine is evident, characterized by a significant disturbance to the natural landscape. The mine's presence has led to substantial land degradation, with large areas of vegetation cleared and soil exposed. The surrounding terrain shows signs of erosion, particularly in the watercourses adjacent to the mine, which may be affected by sediment runoff. The environmental impact is further indicated by the stark contrast between the disturbed mine area and the surrounding forested landscape, highlighting the localized effect of mining on the ecosystem.
20	FooteLithiumMine_rgb_2024-12-23.png	FooteLithiumMine	USA	35.223294,-81.346337	The image reveals potential mining-related environmental hazards. A large mining operation is visible, with extensive excavation and tailings evident. The surrounding landscape shows signs of disturbance, with patches of bare earth and altered terrain. Vegetation appears sparse in areas adjacent to the mine, suggesting possible soil degradation or contamination. The mine's infrastructure, including roads and buildings, is also visible, indicating significant human activity. Overall, the image suggests that the mining operation is having a substantial impact on the local environment.
21	WamboOpenCutMine_rgb_2024-09-05.png	WamboOpenCutMine	Australia	Unknown	The United Wambo Open Cut Mine exhibits significant environmental alteration. Large areas of vegetation have been cleared, exposing bare earth and creating extensive disturbed land. The mine's footprint is visible as a stark, grayish-white area with intricate patterns of excavation and infrastructure. Surrounding forests appear dense and green, contrasting sharply with the mined area. The clear demarcation between the mined land and the natural vegetation suggests habitat fragmentation and potential soil erosion risks. The extent of the disturbance indicates substantial ecological disruption, likely affecting local biodiversity and ecosystem processes.
22	SprucePineQuarry_rgb_2024-04-15.png	SprucePineQuarry	USA	35.942922,-82.08268	The image shows significant environmental degradation due to mining activities. Large areas of land are stripped bare, appearing as white patches indicating exposed soil or mineral deposits. These patches are surrounded by dense forest, which appears in dark red and green tones, suggesting healthy vegetation. The contrast between the cleared areas and the surrounding forest highlights the extent of habitat disruption and potential soil erosion. The mining activities have fragmented the landscape, creating a mosaic of disturbed and intact areas. The exposed terrain is likely to be susceptible to erosion, and the removal of vegetation can lead to increased runoff and sedimentation in nearby water bodies.
23	SprucePineQuarry_rgb_2024-04-25.png	SprucePineQuarry	USA	35.942922,-82.08268	The image reveals significant environmental disturbance due to mining activities. Large areas of land are stripped bare, exposing white and light-colored surfaces indicative of mineral extraction. The extensive quarrying has led to deforestation and habitat destruction, as evident from the stark contrast between the mined areas and the surrounding dense forest. The environmental impact is further highlighted by the presence of roads and infrastructure that facilitate the mining operations, potentially leading to soil erosion and increased sedimentation in nearby water bodies. The scale of the disturbance suggests a substantial alteration of the local ecosystem.
24	RixCreekOpenCutMine_rgb_2024-12-29.png	RixCreekOpenCutMine	Australia	Unknown	The primary environmental hazard visible in this Sentinel-2 satellite image is the potential for water pollution from mining activities. The Rix's Creek Open Cut Mine displays extensive excavation and removal of soil and rock, resulting in large areas of exposed, barren land. The mine's proximity to a river, visible along the bottom left and lower edge of the image, poses a risk of sediment runoff and contamination. The disturbed terrain and lack of vegetation in the mined areas contribute to soil erosion, which can lead to increased sediment load in nearby water bodies, potentially degrading water quality and affecting aquatic ecosystems.
25	RavensworthOpenCutMine_rgb_2024-12-29.png	RavensworthOpenCutMine	Australia	Unknown	The image reveals significant environmental degradation associated with open-cut mining activities. The large, exposed mine pit and surrounding disturbed land indicate extensive land clearing and soil disruption. The stark contrast between the white and gray tones of the mine site and the surrounding brown and green landscape highlights the scale of the disturbance. The presence of numerous roads and infrastructure within and around the mine suggests ongoing operational activity, contributing to habitat fragmentation and potential soil erosion. The surrounding landscape shows signs of stress, with sparse vegetation cover in areas adjacent to the mine, indicating potential environmental impacts on local ecosystems.
26	MuswellbrookOpenCutMine_rgb_2024-09-10.png	MuswellbrookOpenCutMine	Australia	-32.245938,150.937186	The image reveals a potential mining-related environmental hazard. The former Muswellbrook Open Cut Mine displays a large, disturbed area with exposed soil and rock, indicating significant land degradation. The surrounding landscape shows signs of rehabilitation, with vegetation regrowth in some areas. However, the contrast between the barren mine site and the surrounding green landscape highlights the ongoing impact of mining activities on the local ecosystem. The presence of disturbed earth and potential sediment runoff poses a risk to nearby water bodies and habitats.
